Tract Code,Tract Income Level,Distressed or Under-served Tract,Tract Median Family Income %,2019 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2019 Est. Tract Median Family Income,2015 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units,Year,County
0004.01,Moderate,No,61.76,"$103,400","$63,860","$57,019",5907,45.18,2669,977,1032,2018,King
0004.02,Middle,No,114.22,"$103,400","$118,103","$105,446",4906,23.22,1139,1048,1394,2018,King
0005.00,Upper,No,157.48,"$103,400","$162,834","$145,388",3044,13.76,419,1183,1354,2018,King
0006.00,Moderate,No,74.61,"$103,400","$77,147","$68,884",7674,37.71,2894,1750,2265,2018,King
0007.00,Middle,No,81.15,"$103,400","$83,909","$74,917",4892,42.83,2095,1082,1256,2018,King
0008.00,Upper,No,128.72,"$103,400","$133,096","$118,839",2487,17.25,429,751,1023,2018,King
0009.00,Upper,No,176.56,"$103,400","$182,563","$163,000",1971,18.26,360,706,891,2018,King
0010.00,Moderate,No,75.19,"$103,400","$77,746","$69,417",2094,45.32,949,408,607,2018,King
0011.00,Middle,No,117.39,"$103,400","$121,381","$108,375",2669,30.72,820,719,907,2018,King
0012.00,Moderate,No,59.23,"$103,400","$61,244","$54,681",6556,40.25,2639,923,1001,2018,King
0013.00,Middle,No,89.21,"$103,400","$92,243","$82,361",4389,40.46,1776,967,1305,2018,King
0014.00,Middle,No,98.80,"$103,400","$102,159","$91,213",5505,20.54,1131,1290,1841,2018,King
0015.00,Upper,No,144.37,"$103,400","$149,279","$133,281",2398,7.96,191,870,1073,2018,King
0016.00,Upper,No,132.50,"$103,400","$137,005","$122,321",4111,17.68,727,1387,1630,2018,King
0017.01,Middle,No,112.12,"$103,400","$115,932","$103,510",4055,32.73,1327,874,1006,2018,King
0017.02,Middle,No,93.98,"$103,400","$97,175","$86,768",4408,25.45,1122,1120,1473,2018,King
0018.00,Middle,No,85.16,"$103,400","$88,055","$78,621",5217,30.07,1569,1103,1870,2018,King
0019.00,Middle,No,119.39,"$103,400","$123,449","$110,221",4723,31.21,1474,1268,1294,2018,King
0020.00,Upper,No,120.92,"$103,400","$125,031","$111,630",3600,15.81,569,939,1246,2018,King
0021.00,Upper,No,122.76,"$103,400","$126,934","$113,333",4148,25.48,1057,1193,1529,2018,King
0022.00,Upper,No,170.75,"$103,400","$176,556","$157,634",5622,21.26,1195,2008,2134,2018,King
0024.00,Upper,No,139.27,"$103,400","$144,005","$128,578",2994,19.87,595,889,1203,2018,King
0025.00,Upper,No,125.57,"$103,400","$129,839","$115,927",2981,13.49,402,924,1161,2018,King
0026.00,Upper,No,137.59,"$103,400","$142,268","$127,024",4989,18.94,945,1258,1689,2018,King
0027.00,Upper,No,131.79,"$103,400","$136,271","$121,667",6027,23.30,1404,1569,2179,2018,King
0028.00,Upper,No,142.36,"$103,400","$147,200","$131,429",4727,14.85,702,1180,1767,2018,King
0029.00,Upper,No,140.28,"$103,400","$145,050","$129,508",4303,10.85,467,1225,1667,2018,King
0030.00,Middle,No,106.27,"$103,400","$109,883","$98,110",5719,14.92,853,1586,2220,2018,King
0031.00,Upper,No,136.60,"$103,400","$141,244","$126,111",6223,12.42,773,2074,2540,2018,King
0032.00,Middle,No,104.26,"$103,400","$107,805","$96,250",8233,15.13,1246,2033,2679,2018,King
0033.00,Middle,No,119.74,"$103,400","$123,811","$110,547",6572,14.62,961,1424,2291,2018,King
0034.00,Upper,No,126.96,"$103,400","$131,277","$117,208",3587,14.36,515,975,1480,2018,King
